mode,seed,time_s,in_burst,window_generated,window_arrived,window_dropped,window_pdr,cumulative_generated,cumulative_arrived,cumulative_dropped,cumulative_pdr,queue_depth,cache_hits,cache_misses,cache_hit_rate
baseline,7,10,False,50,49,0,1.0,50,49,0,0.98,1,0,0,0.0
baseline,7,20,False,50,0,49,0.0,100,49,49,0.49,2,0,0,0.0
baseline,7,30,False,50,0,50,0.0,150,49,99,0.32666666666666666,2,0,0,0.0
baseline,7,40,False,50,0,50,0.0,200,49,149,0.245,2,0,0,0.0
baseline,7,50,False,50,0,50,0.0,250,49,199,0.196,2,0,0,0.0
baseline,7,60,False,50,0,50,0.0,300,49,249,0.16333333333333333,2,0,0,0.0
baseline,7,70,False,50,0,50,0.0,350,49,299,0.14,2,0,0,0.0
baseline,7,80,False,50,0,50,0.0,400,49,349,0.1225,2,0,0,0.0
baseline,7,90,False,50,0,50,0.0,450,49,399,0.10888888888888888,2,0,0,0.0
baseline,7,100,False,50,0,50,0.0,500,49,449,0.098,2,0,0,0.0
baseline,7,110,False,50,0,50,0.0,550,49,499,0.0890909090909091,2,0,0,0.0
baseline,7,120,False,50,0,50,0.0,600,49,549,0.08166666666666667,2,0,0,0.0
baseline,7,130,False,50,0,50,0.0,650,49,599,0.07538461538461538,2,0,0,0.0
baseline,7,140,False,50,0,50,0.0,700,49,649,0.07,2,0,0,0.0
baseline,7,150,False,50,1,49,0.02,750,50,698,0.06666666666666667,2,0,0,0.0
baseline,7,160,False,50,0,50,0.0,800,50,748,0.0625,2,0,0,0.0
baseline,7,170,False,50,0,50,0.0,850,50,798,0.058823529411764705,2,0,0,0.0
baseline,7,180,False,50,0,50,0.0,900,50,848,0.05555555555555555,2,0,0,0.0
baseline,7,190,False,50,0,50,0.0,950,50,898,0.05263157894736842,2,0,0,0.0
baseline,7,200,False,50,0,50,0.0,1000,50,948,0.05,2,0,0,0.0
baseline,7,210,False,50,0,50,0.0,1050,50,998,0.047619047619047616,2,0,0,0.0
baseline,7,220,False,50,0,50,0.0,1100,50,1048,0.045454545454545456,2,0,0,0.0
baseline,7,230,False,50,0,50,0.0,1150,50,1098,0.043478260869565216,2,0,0,0.0
baseline,7,240,False,50,0,50,0.0,1200,50,1148,0.041666666666666664,2,0,0,0.0
baseline,7,250,False,50,0,50,0.0,1250,50,1198,0.04,2,0,0,0.0
baseline,7,260,False,50,0,50,0.0,1300,50,1248,0.038461538461538464,2,0,0,0.0
baseline,7,270,False,50,0,50,0.0,1350,50,1298,0.037037037037037035,2,0,0,0.0
baseline,7,280,False,50,0,50,0.0,1400,50,1348,0.03571428571428571,2,0,0,0.0
baseline,7,290,False,50,0,50,0.0,1450,50,1398,0.034482758620689655,2,0,0,0.0
baseline,7,300,True,50,0,50,0.0,1500,50,1448,0.03333333333333333,2,0,0,0.0
baseline,7,310,True,150,0,148,0.0,1650,50,1596,0.030303030303030304,4,0,0,0.0
